ID,Trade Date,DayOfWeek,Day,Month,Year,Index,High,Low,Total Market Value
3,2020-02-04,3,4,2,2020,1686.07,1688.48,1667.05,8.03831E+12
4,2020-02-03,2,3,2,2020,1649.92,1656.1,1629.96,7.86598E+12
5,2020-01-31,6,31,1,2020,1604.78,1640.7,1597.27,7.6508E+12
6,2020-01-30,5,30,1,2020,1640.56,1642.38,1619.65,7.82159E+12
7,2020-01-29,4,29,1,2020,1646.7,1656.27,1639.45,7.8517E+12
8,2020-01-28,3,28,1,2020,1647.31,1648.46,1628.19,7.85457E+12
9,2020-01-27,2,27,1,2020,1613.03,1623.14,1604.85,7.69114E+12
10,2020-01-24,6,24,1,2020,1645.56,1665.84,1637.25,7.84626E+12
11,2020-01-23,5,23,1,2020,1652.64,1653.9,1640.56,7.88002E+12
12,2020-01-22,4,22,1,2020,1644.92,1655.4,1643.88,7.84318E+12
13,2020-01-21,3,21,1,2020,1651.1,1656.96,1646.97,7.87267E+12
14,2020-01-17,6,17,1,2020,1656.06,1658.67,1646.44,7.89631E+12
15,2020-01-16,5,16,1,2020,1642.85,1643.04,1631.77,7.83332E+12
16,2020-01-15,4,15,1,2020,1631.95,1641.31,1627.01,7.78135E+12
17,2020-01-14,3,14,1,2020,1633.42,1642.98,1628.94,7.78838E+12
18,2020-01-13,2,13,1,2020,1644.14,1644.14,1628.08,7.83946E+12
19,2020-01-10,6,10,1,2020,1615.02,1627.07,1612.66,7.70061E+12
20,2020-01-09,5,9,1,2020,1620.71,1624.52,1609.59,7.72776E+12
21,2020-01-08,4,8,1,2020,1600.5,1607.7,1582.78,7.63151E+12
22,2020-01-07,3,7,1,2020,1586.06,1591.45,1581.47,7.56265E+12
23,2020-01-06,2,6,1,2020,1581.5,1581.5,1558.6,7.54172E+12
24,2020-01-03,6,3,1,2020,1582.44,1589.53,1575.24,7.5462E+12
25,2020-01-02,5,2,1,2020,1582.43,1588.11,1567.65,7.54615E+12
26,2019-12-31,3,31,12,2019,1550.26,1553.65,1539.08,7.39416E+12
27,2019-12-30,2,30,12,2019,1561.91,1568.81,1552.98,7.44975E+12
28,2019-12-27,6,27,12,2019,1575.63,1582.91,1571.42,7.51561E+12
29,2019-12-26,5,26,12,2019,1587.93,1587.93,1578.3,7.57426E+12
30,2019-12-24,3,24,12,2019,1578.09,1580.99,1576.52,7.52739E+12
31,2019-12-23,2,23,12,2019,1582.06,1586.25,1577.88,7.54649E+12
32,2019-12-20,6,20,12,2019,1563.93,1570.17,1558.49,7.42837E+12
33,2019-12-19,5,19,12,2019,1559.33,1561.49,1548.66,7.4076E+12
34,2019-12-18,4,18,12,2019,1543.41,1548.91,1541.66,7.3326E+12
35,2019-12-17,3,17,12,2019,1535.01,1539.02,1530,7.29268E+12
36,2019-12-16,2,16,12,2019,1511.04,1517,1505.44,7.17881E+12
37,2019-12-13,6,13,12,2019,1495.41,1503.1,1490.02,7.10454E+12
38,2019-12-12,5,12,12,2019,1517.31,1521.53,1495.96,7.20866E+12
39,2019-12-11,4,11,12,2019,1499.01,1499.01,1491.26,7.12271E+12
40,2019-12-10,3,10,12,2019,1491.3,1498.57,1486.11,7.08606E+12
41,2019-12-09,2,9,12,2019,1494.37,1506.69,1494.29,7.10078E+12
42,2019-12-06,6,6,12,2019,1506.11,1506.13,1498.04,7.15656E+12
43,2019-12-05,5,5,12,2019,1484.71,1488.87,1479.38,7.0549E+12
44,2019-12-04,4,4,12,2019,1487.41,1492.67,1487.27,7.06947E+12
45,2019-12-03,3,3,12,2019,1492.94,1493.23,1475.89,7.09639E+12
46,2019-12-02,2,2,12,2019,1511.18,1528.1,1503.89,7.18306E+12
47,2019-11-29,6,29,11,2019,1526.74,1537.01,1526.46,7.25711E+12
48,2019-11-27,4,27,11,2019,1541.08,1541.84,1532.94,7.32538E+12
49,2019-11-26,3,26,11,2019,1534.68,1535.32,1529.14,7.29519E+12
50,2019-11-25,2,25,11,2019,1524.18,1525.22,1517.18,7.24537E+12
51,2019-11-22,6,22,11,2019,1514.98,1516.08,1506.82,7.20161E+12
52,2019-11-21,5,21,11,2019,1502.89,1509.26,1497.83,7.14423E+12
53,2019-11-20,4,20,11,2019,1507.53,1517.94,1495.78,7.19269E+12
54,2019-11-19,3,19,11,2019,1514.75,1520.11,1508.21,7.23035E+12
55,2019-11-18,2,18,11,2019,1508.75,1512.37,1499.12,7.20169E+12
56,2019-11-15,6,15,11,2019,1513.61,1513.97,1507.15,7.22503E+12
57,2019-11-14,5,14,11,2019,1508.39,1510.59,1497.48,7.20058E+12
58,2019-11-13,4,13,11,2019,1510.64,1513.8,1505.54,7.2124E+12
59,2019-11-12,3,12,11,2019,1511.41,1516.63,1504.61,7.21798E+12
60,2019-11-11,2,11,11,2019,1503.22,1506.54,1495.65,7.1793E+12
61,2019-11-08,6,8,11,2019,1515.19,1516.17,1499.29,7.23644E+12
62,2019-11-07,5,7,11,2019,1505.33,1514.35,1501.68,7.18951E+12
63,2019-11-06,4,6,11,2019,1494.18,1496.99,1487.66,7.13906E+12
64,2019-11-05,3,5,11,2019,1497.27,1500.1,1493.17,7.15973E+12
65,2019-11-04,2,4,11,2019,1491.44,1501.4,1489.96,7.13189E+12
66,2019-11-01,6,1,11,2019,1479,1479.7,1470.09,7.07247E+12
67,2019-10-31,5,31,10,2019,1466.01,1469.56,1458.86,7.01033E+12
68,2019-10-30,4,30,10,2019,1473.63,1473.63,1461.29,7.04728E+12
69,2019-10-29,3,29,10,2019,1463.65,1479.78,1463.14,7.00019E+12
70,2019-10-28,2,28,10,2019,1480.13,1481.29,1474.12,7.07901E+12
71,2019-10-25,6,25,10,2019,1467.66,1469.23,1450.69,7.01938E+12
72,2019-10-24,5,24,10,2019,1454.82,1460.9,1437.74,6.95797E+12
